x,y,z,time_board,time_marker,marker
0.8790396453362851,0.8755396922844152,0.8135033981503258,1728521328.693064,1728521328.6903162,1000
0.9005835828896701,0.8580480718255815,0.8447183941383698,1728521328.6981945,1728521333.708318,2000
0.8738060051373837,0.9511797717334108,0.9725251307056239,1728521328.7140236,1728521333.708318,2000
0.8956358519077631,0.8043277635240494,0.8391942722961683,1728521328.71403,1728521333.708318,2000
0.8077960289769875,0.95556675674001,0.9341853314256329,1728521328.7140348,1728521333.708318,2000
0.850590355657898,0.8465063470645229,0.8864125971403062,1728521328.7297804,1728521333.708318,2000
0.8744114732786465,0.8585025316322887,0.9424465471487792,1728521328.729786,1728521333.708318,2000
0.9838408362455556,0.9256422492845001,0.904218401458876,1728521328.7297893,1728521333.708318,2000
0.9153492321726532,0.9652893314892307,0.9438384337572655,1728521328.7442353,1728521333.708318,2000
0.8068605457176337,0.8079546564435098,0.9385444590063184,1728521328.7442417,1728521333.708318,2000
0.8898763470563099,0.9590154593522117,0.8390341148444415,1728521328.7442465,1728521333.708318,2000
0.8472201376466496,0.9678261577823296,0.8175184595502181,1728521328.759356,1728521333.708318,2000
0.8795256104614909,0.8371498008561171,0.9858216980334388,1728521328.7593787,1728521333.708318,2000
0.8238742679752364,0.9501225099586522,0.9808736618059998,1728521328.759382,1728521333.708318,2000
0.9169819685806503,0.986743750863372,0.9111767305420441,1728521328.7743945,1728521333.708318,2000
0.8615532272712442,0.9033619465101935,0.9094879421820806,1728521328.7743988,1728521333.708318,2000
0.8111135378392834,0.9634069916467763,0.9414881114633548,1728521328.7744093,1728521333.708318,2000
0.9842453066446647,0.8755038554328508,0.8683682819056407,1728521328.7897108,1728521333.708318,2000
0.9413694574773578,0.9406341771760774,0.8950817231289591,1728521328.7897203,1728521333.708318,2000
0.9074612761799642,0.8894579071753294,0.9825137790639523,1728521328.7897277,1728521333.708318,2000
0.9516930271573466,0.8911180307493506,0.8902570085262943,1728521328.8055909,1728521333.708318,2000
0.9943821858081937,0.9761245302623195,0.9123717472307099,1728521328.8056045,1728521333.708318,2000
0.900212301190917,0.9898144719991498,0.846196965026507,1728521328.8056116,1728521333.708318,2000
